Reported,Reported Positive,Total  tests performed,date,Discharged,Deaths,last 24 hrs,Province,Still admitted,Tests  performed in last 24 hours,Location
48,2,80,11-Mar-20,0,0,3,ICT,2,8,Pakistan
61,0,95,11-Mar-20,0,0,6,Punjab,0,7,Pakistan
84,14,171,11-Mar-20,1,0,1,Sindh,13,55,Pakistan
20,0,28,11-Mar-20,0,0,0,KP,0,2,Pakistan
3,0,0,11-Mar-20,0,0,0,KPTD,0,0,Pakistan
19,1,18,11-Mar-20,0,0,4,Balochistan,1,4,Pakistan
3,0,4,11-Mar-20,0,0,0,AJK,0,0,Pakistan
10,2,26,11-Mar-20,0,0,0,GB,2,4,Pakistan
52,2,85,12-Mar-20,0,0,4,ICT,2,5,Pakistan
67,0,105,12-Mar-20,0,0,6,Punjab,0,10,Pakistan
89,14,198,12-Mar-20,2,0,5,Sindh,12,27,Pakistan
24,0,29,12-Mar-20,0,0,4,KP,0,1,Pakistan
3,0,0,12-Mar-20,0,0,0,KPTD,0,0,Pakistan
23,1,18,12-Mar-20,0,0,4,Balochistan,1,4,Pakistan
3,0,8,12-Mar-20,0,0,0,AJK,0,4,Pakistan
10,3,28,12-Mar-20,0,0,0,GB,3,2,Pakistan
57,2,92,13-Mar-20,0,0,5,ICT,2,7,Pakistan
71,0,110,13-Mar-20,0,0,4,Punjab,0,5,Pakistan
107,15,240,13-Mar-20,2,0,18,Sindh,13,42,Pakistan
27,0,30,13-Mar-20,0,0,3,KP,0,1,Pakistan
4,0,0,13-Mar-20,0,0,1,KPTD,0,0,Pakistan
31,1,18,13-Mar-20,0,0,8,Balochistan,1,0,Pakistan
4,0,9,13-Mar-20,0,0,1,AJK,0,1,Pakistan
17,3,32,13-Mar-20,0,0,7,GB,3,4,Pakistan
62,3,99,14-Mar-20,0,0,5,ICT,3,7,Pakistan
77,0,116,14-Mar-20,0,0,6,Punjab,0,6,Pakistan
119,16,282,14-Mar-20,3,0,12,Sindh,13,42,Pakistan
29,0,31,14-Mar-20,0,0,2,KP,0,1,Pakistan
4,0,0,14-Mar-20,0,0,0,KPTD,0,0,Pakistan
45,6,35,14-Mar-20,0,0,14,Balochistan,6,17,Pakistan
4,0,10,14-Mar-20,0,0,0,AJK,0,1,Pakistan
23,3,36,14-Mar-20,0,0,6,GB,3,4,Pakistan
65,4,115,15-Mar-20,0,0,3,ICT,4,16,Pakistan
83,0,126,15-Mar-20,0,0,6,Punjab,0,10,Pakistan
127,18,315,15-Mar-20,3,0,8,Sindh,15,33,Pakistan
30,0,32,15-Mar-20,0,0,1,KP,0,1,Pakistan
5,0,0,15-Mar-20,0,0,1,KPTD,0,0,Pakistan
45,6,42,15-Mar-20,0,0,0,Balochistan,6,7,Pakistan
4,0,11,15-Mar-20,0,0,0,AJK,0,1,Pakistan
23,3,45,15-Mar-20,0,0,0,GB,3,9,Pakistan
69,4,147,16-Mar-20,0,0,4,ICT,4,32,Pakistan
95,1,166,16-Mar-20,0,0,12,Punjab,1,40,Pakistan
135,34,364,16-Mar-20,3,0,8,Sindh,32,49,Pakistan
36,0,32,16-Mar-20,0,0,6,KP,0,0,Pakistan
5,0,0,16-Mar-20,0,0,0,KPTD,0,0,Pakistan
70,5,40,16-Mar-20,0,0,21,Balochistan,10,12,Pakistan
9,0,11,16-Mar-20,0,0,1,AJK,0,0,Pakistan
23,3,45,16-Mar-20,0,0,0,GB,3,0,Pakistan
0,6,28,16-Mar-20,0,0,0,Mobile Lab,0,6,Pakistan
76,4,581,17-Mar-20,1,0,7,ICT,3,195,Pakistan
112,1,166,17-Mar-20,0,0,17,Punjab,1,0,Pakistan
140,150,554,17-Mar-20,3,0,5,Sindh,147,190,Pakistan
52,15,51,17-Mar-20,0,0,25,KP,15,19,Pakistan
5,0,0,17-Mar-20,0,0,0,KPTD,0,0,Pakistan
